"cnumber","pname","van0","title","fips","county","city","tn","date","month","year","state"
"fsa1998002160/PP","Lee","Organized Society","Officer and speaker at meeting with agricultural agent. Placer County, Californi",6061,"Placer","","thumb/0310/0311/8a29793_150px.jpg","1940-12",12,1940,"California"
"fsa1998002166/PP","Lee","Homes and Living Conditions","Privy on farm in Placer County, California",6061,"Placer","","thumb/0310/0311/8a29799_150px.jpg","1940-12",12,1940,"California"
"fsa1998002167/PP","Lee","Work","Cultivators turned in on chattel mortgage by farmers of Placer County, Californi",6061,"Placer","","thumb/0310/0311/8a29801_150px.jpg","1940-12",12,1940,"California"
"fsa1998002172/PP","Lee","Cities and Towns","Real estate office. Oakland, California",6001,"Alameda","Oakland","thumb/0310/0311/8a29806_150px.jpg","1940-12",12,1940,"California"
"fsa1998002175/PP","Lee","People As Such","Son of Japanese farmer with his dog. Placer County, California",6061,"Placer","","thumb/0310/0311/8a29808_150px.jpg","1940-12",12,1940,"California"
"fsa1998002434/PP","Lee","Transportation","Price sign of gasoline on Highway 6. Inyo County, California",6027,"Inyo","","thumb/0310/0313/8a30066_150px.jpg","1941-06","06",1941,"California"
"fsa1998003188/PP","Lee","Work","Greaser in wheel house in main tower, Shasta Dam, Shasta County, California",6089,"Shasta","","thumb/0320/0321/8a30819_150px.jpg","1941-12",12,1941,"California"
"fsa1998003189/PP","Lee","Work","Greaser in wheel house in main tower, Shasta Dam, Shasta County, California",6089,"Shasta","","thumb/0320/0321/8a30820_150px.jpg","1941-12",12,1941,"California"
"fsa1998003191/PP","Lee","Work","Putting concrete on Pit River Bridge which is above Shasta Dam, Shasta County, C",6089,"Shasta","","thumb/0320/0321/8a30821_150px.jpg","1941-12",12,1941,"California"
"fsa1998003192/PP","Lee","Work","Putting concrete on Pit River Bridge which is above Shasta Dam, Shasta County, C",6089,"Shasta","","thumb/0320/0321/8a30822_150px.jpg","1941-12",12,1941,"California"
"fsa1998003193/PP","Lee","Work","Workmen handling section of rubber conveyor belt which transports gravel to Shas",6089,"Shasta","","thumb/0320/0321/8a30823_150px.jpg","1941-12",12,1941,"California"
"fsa1998003194/PP","Lee","Work","Workmen handling section of rubber conveyor belt which transports gravel to Shas",6089,"Shasta","","thumb/0320/0321/8a30824_150px.jpg","1941-12",12,1941,"California"
"fsa1998003196/PP","Lee","Work","Surveying crew working at Shasta Dam, Shasta County, California",6089,"Shasta","","thumb/0320/0321/8a30825_150px.jpg","1941-12",12,1941,"California"
"fsa1998003197/PP","Lee","Work","Workman in the surveying crew at Shasta Dam, Shasta County, California",6089,"Shasta","","thumb/0320/0321/8a30826_150px.jpg","1941-12",12,1941,"California"
"fsa1998003198/PP","Lee","Work","Part of the surveying crew at Shasta Dam, Shasta County, California",6089,"Shasta","","thumb/0320/0321/8a30827_150px.jpg","1941-12",12,1941,"California"
"fsa1998003199/PP","Lee","Work","Workman in the surveying crew at Shasta Dam, Shasta County, California",6089,"Shasta","","thumb/0320/0321/8a30828_150px.jpg","1941-12",12,1941,"California"
"fsa1998003201/PP","Lee","Work","Part of the surveying crew at Shasta Dam, Shasta County, California",6089,"Shasta","","thumb/0320/0321/8a30830_150px.jpg","1941-12",12,1941,"California"
"fsa1998003202/PP","Lee","Work","Chain man of surveying crew at Shasta Dam, Shasta County, California",6089,"Shasta","","thumb/0320/0321/8a30831_150px.jpg","1941-12",12,1941,"California"
"fsa1998003203/PP","Lee","Work","Rod man with surveying crew at Shasta Dam, Shasta County, California",6089,"Shasta","","thumb/0320/0321/8a30832_150px.jpg","1941-12",12,1941,"California"
"fsa1998003205/PP","Lee","People As Such","Workman at Shasta Dam, Shasta County, California",6089,"Shasta","","thumb/0320/0321/8a30834_150px.jpg","1941-12",12,1941,"California"
"fsa1998003206/PP","Lee","Work","Workman in surveying crew at Shasta Dam, Shasta County, California",6089,"Shasta","","thumb/0320/0321/8a30835_150px.jpg","1941-12",12,1941,"California"
"fsa1998003208/PP","Lee","Work","Workman in surveying crew at Shasta Dam, Shasta County, California",6089,"Shasta","","thumb/0320/0321/8a30837_150px.jpg","1941-12",12,1941,"California"
"fsa1998003210/PP","Lee","Work","Member of the surveying crew at Shasta Dam, Shasta County, California",6089,"Shasta","","thumb/0320/0321/8a30839_150px.jpg","1941-12",12,1941,"California"
"fsa1998003211/PP","Lee","Transportation","Dump truck which carries materials for use in construction of Shasta Dam, Shasta",6089,"Shasta","","thumb/0320/0321/8a30840_150px.jpg","1941-12",12,1941,"California"
"fsa1998003212/PP","Lee","Transportation","Dump truck which carries materials for use in construction of Shasta Dam, Shasta",6089,"Shasta","","thumb/0320/0321/8a30841_150px.jpg","1941-12",12,1941,"California"
"fsa1998003220/PP","Lee","Work","Gravel on long rubber conveyor belt at Shasta Dam, Shasta County, California",6089,"Shasta","","thumb/0320/0321/8a30848_150px.jpg","1941-12",12,1941,"California"
"fsa1998003221/PP","Lee","Work","Checking work at Shasta Dam, Shasta County, California",6089,"Shasta","","thumb/0320/0321/8a30849_150px.jpg","1941-12",12,1941,"California"
"fsa1998003223/PP","Lee","Work","Carpenters at Shasta Dam, Shasta County, California",6089,"Shasta","","thumb/0320/0321/8a30851_150px.jpg","1941-12",12,1941,"California"
"fsa1998003224/PP","Lee","Work","Workman at Shasta Dam, Shasta County, California",6089,"Shasta","","thumb/0320/0321/8a30852_150px.jpg","1941-12",12,1941,"California"
"fsa1998003225/PP","Lee","Work","Workman at Shasta Dam, Shasta County, California",6089,"Shasta","","thumb/0320/0321/8a30853_150px.jpg","1941-12",12,1941,"California"
"fsa1998003226/PP","Lee","Work","Welder at Shasta Dam, Shasta County, California",6089,"Shasta","","thumb/0320/0321/8a30854_150px.jpg","1941-12",12,1941,"California"
"fsa1998003227/PP","Lee","Work","Welder at Shasta Dam, Shasta County, California",6089,"Shasta","","thumb/0320/0321/8a30855_150px.jpg","1941-12",12,1941,"California"
"fsa1998003228/PP","Lee","Work","Wetting down freshly-poured concrete, Shasta Dam, Shasta County, California",6089,"Shasta","","thumb/0320/0321/8a30856_150px.jpg","1941-12",12,1941,"California"
"fsa1998003229/PP","Lee","Work","Wetting down freshly-poured concrete, Shasta Dam, Shasta County, California",6089,"Shasta","","thumb/0320/0321/8a30857_150px.jpg","1941-12",12,1941,"California"
"fsa1998003231/PP","Lee","Work","Workman working on forms for concrete at Shasta Dam, Shasta County, California",6089,"Shasta","","thumb/0320/0321/8a30863_150px.jpg","1941-12",12,1941,"California"
"fsa1998003232/PP","Lee","Work","Welder of Shasta Dam, Shasta County, California",6089,"Shasta","","thumb/0320/0321/8a30862_150px.jpg","1941-12",12,1941,"California"
"fsa1998003233/PP","Lee","Work","Signal man at Shasta Dam, Shasta County, California. He telephones to crew at ce",6089,"Shasta","","thumb/0320/0321/8a30861_150px.jpg","1941-12",12,1941,"California"
"fsa1998003235/PP","Lee","Work","Operating viberators which spread concrete, Shasta Dam, Shasta County, Californi",6089,"Shasta","","thumb/0320/0321/8a30859_150px.jpg","1941-12",12,1941,"California"
"fsa1998003236/PP","Lee","Work","Working on forms for concrete at Shasta Dam, Shasta County, California",6089,"Shasta","","thumb/0320/0321/8a30864_150px.jpg","1941-12",12,1941,"California"
"fsa1998003238/PP","Lee","Social and Personal Activity","Lunch boxes of workmen at Shasta Dam, Shasta County, California",6089,"Shasta","","thumb/0320/0321/8a30866_150px.jpg","1941-12",12,1941,"California"
"fsa1998003239/PP","Lee","Work","Looking from main tower from which aerial tram and supply buckets are operated, ",6089,"Shasta","","thumb/0320/0321/8a30867_150px.jpg","1941-12",12,1941,"California"
"fsa1998003240/PP","Lee","Work","Looking from main tower from which serial tram and supply buckets are operated, ",6089,"Shasta","","thumb/0320/0321/8a30868_150px.jpg","1941-12",12,1941,"California"
"fsa1998003241/PP","Lee","Work","Looking down on battery of lights used for night work at Shasta Dam, Shasta Coun",6089,"Shasta","","thumb/0320/0321/8a30869_150px.jpg","1941-12",12,1941,"California"
"fsa1998003243/PP","Lee","Work","Wheelhouse from which aerial tram which delivers materials to construction point",6089,"Shasta","","thumb/0320/0321/8a30871_150px.jpg","1941-12",12,1941,"California"
"fsa1998003244/PP","Lee","Work","Wheelhouse from which aerial tram which delivers materials to construction point",6089,"Shasta","","thumb/0320/0321/8a30872_150px.jpg","1941-12",12,1941,"California"
"fsa1998003245/PP","Lee","Work","Carriages and buckets which deliver materials to construction points at Shasta D",6089,"Shasta","","thumb/0320/0321/8a30873_150px.jpg","1941-12",12,1941,"California"
"fsa1998003247/PP","Lee","Work","Crane on top of central tower for handling repairs of carriage of buckets which ",6089,"Shasta","","thumb/0320/0321/8a30875_150px.jpg","1941-12",12,1941,"California"
"fsa1998003248/PP","Lee","Work","Operator of buckets which deliver materials to construction points of Shasta Dam",6089,"Shasta","","thumb/0320/0321/8a30876_150px.jpg","1941-12",12,1941,"California"
"fsa1998003251/PP","Lee","Work","Workman keeps in touch with various construction points by telephone at Shasta D",6089,"Shasta","","thumb/0320/0321/8a30879_150px.jpg","1941-12",12,1941,"California"
"fsa1998003253/PP","Lee","Work","Dr. William B. McCallum, manager of the International Rubber Company of Californ",6053,"Monterey","Salinas","thumb/0320/0321/8a30881_150px.jpg","1941-12",12,1941,"California"
"fsa1998003254/PP","Lee","Work","Weeding the seedbeds at guayule nursery at Salinas, California",6053,"Monterey","Salinas","thumb/0320/0321/8a30882_150px.jpg","1941-12",12,1941,"California"
"fsa1998003256/PP","Lee","Work","Weeding the seedbeds at guayule nursery at Salinas, California",6053,"Monterey","Salinas","thumb/0320/0321/8a30884_150px.jpg","1941-12",12,1941,"California"
"fsa1998003258/PP","Lee","Work","Machine which transports the harvested guayule to chopping apparatus, Salinas, C",6053,"Monterey","Salinas","thumb/0320/0321/8a30886_150px.jpg","1941-12",12,1941,"California"
"fsa1998003259/PP","Lee","Work","Harvesting machine for guayule, Salinas, California",6053,"Monterey","Salinas","thumb/0320/0321/8a30887_150px.jpg","1941-12",12,1941,"California"
"fsa1998003260/PP","Lee","Work","Pouring concrete at Shasta Dam, Shasta County, California",6089,"Shasta","","thumb/0320/0321/8a30888_150px.jpg","1941-12",12,1941,"California"
"fsa1998003261/PP","Lee","Work","Workmen using viberators which spread the wet concrete in construction of Shasta",6089,"Shasta","","thumb/0320/0322/8a30889_150px.jpg","1941-12",12,1941,"California"
"fsa1998003262/PP","Lee","Work","Workmen using viberators which spread the wet concrete in construction of Shasta",6089,"Shasta","","thumb/0320/0322/8a30890_150px.jpg","1941-12",12,1941,"California"
"fsa1998003263/PP","Lee","Work","Dumping concrete in construction of Shasta Dam, Shasta County, California",6089,"Shasta","","thumb/0320/0322/8a30891_150px.jpg","1941-12",12,1941,"California"
"fsa1998003264/PP","Lee","Work","Workmen using viberators which spread the wet concrete in construction of Shasta",6089,"Shasta","","thumb/0320/0322/8a30892_150px.jpg","1941-12",12,1941,"California"
"fsa1998003265/PP","Lee","People As Such","[Untitled]",6089,"Shasta","","thumb/0320/0322/8a30893_150px.jpg","1941-12",12,1941,"California"
"fsa1998003269/PP","Lee","Work","Workmen using viberators which spread the wet concrete in construction of Shasta",6089,"Shasta","","thumb/0320/0322/8a30897_150px.jpg","1941-12",12,1941,"California"
"fsa1998003272/PP","Lee","Work","Dumping bucket of concrete in construction of Shasta Dam, Shasta County, Califor",6089,"Shasta","","thumb/0320/0322/8a30901_150px.jpg","1941-12",12,1941,"California"
"fsa1998003275/PP","Lee","Medicine and Health","Agricultural workers wait in the clinic at the FSA (Farm Security Administration",6107,"Tulare","Woodville","thumb/0320/0322/8a30904_150px.jpg","1942-03","03",1942,"California"
"fsa1998003277/PP","Lee","People As Such","Agricultural workers wait in the clinic at the FSA (Farm Security Administration",6107,"Tulare","Woodville","thumb/0320/0322/8a30906_150px.jpg","1942-03","03",1942,"California"
"fsa1998003278/PP","Lee","People As Such","Agricultural workers wait in the clinic at the FSA (Farm Security Administration",6107,"Tulare","Woodville","thumb/0320/0322/8a30907_150px.jpg","1942-03","03",1942,"California"
"fsa1998003280/PP","Lee","People As Such","Nap time in the nursery school at the FSA (Farm Security Administration) farm wo",6107,"Tulare","Woodville","thumb/0320/0322/8a30909_150px.jpg","1942-03","03",1942,"California"
"fsa1998003282/PP","Lee","People As Such","Nap time in the nursery school at the FSA (Farm Security Administration) farm wo",6107,"Tulare","Woodville","thumb/0320/0322/8a30911_150px.jpg","1942-03","03",1942,"California"
"fsa1998003284/PP","Lee","People As Such","Nap time in the nursery school at the FSA (Farm Security Administration) farm wo",6107,"Tulare","Woodville","thumb/0320/0322/8a30913_150px.jpg","1942-03","03",1942,"California"
"fsa1998003285/PP","Lee","People As Such","Nap time in the nursery school at the FSA (Farm Security Administration) farm wo",6107,"Tulare","Woodville","thumb/0320/0322/8a30914_150px.jpg","1942-03","03",1942,"California"
"fsa1998003287/PP","Lee","People As Such","Nap time in the nursery school at the FSA (Farm Security Administration) farm wo",6107,"Tulare","Woodville","thumb/0320/0322/8a30916_150px.jpg","1942-03","03",1942,"California"
"fsa1998003291/PP","Lee","Work","Weighing in cotton, Tulare County, California",6107,"Tulare","","thumb/0320/0322/8a30920_150px.jpg","1942-03","03",1942,"California"
"fsa1998003293/PP","Lee","Work","Weighing in cotton, Tulare County, California",6107,"Tulare","","thumb/0320/0322/8a30922_150px.jpg","1942-03","03",1942,"California"
"fsa1998003294/PP","Lee","Work","Cotton picker, Tulare County, California",6107,"Tulare","","thumb/0320/0322/8a30923_150px.jpg","1942-03","03",1942,"California"
"fsa1998003300/PP","Lee","Organized Society","Housing for agricultural workers at the FSA (Farm Security Administration) farm ",6107,"Tulare","Woodville","thumb/0320/0322/8a30929_150px.jpg","1942-03","03",1942,"California"
"fsa1998003301/PP","Lee","Organized Society","Housing for agricultural workers at the FSA (Farm Security Administration) farm ",6107,"Tulare","Woodville","thumb/0320/0322/8a30930_150px.jpg","1942-03","03",1942,"California"
"fsa1998003302/PP","Lee","Organized Society","Housing for agricultural workers at the FSA (Farm Security Administration) farm ",6107,"Tulare","Woodville","thumb/0320/0322/8a30931_150px.jpg","1942-03","03",1942,"California"
"fsa1998003304/PP","Lee","Organized Society","Housing for permanent workers at the FSA (Farm Security Administration) farm wor",6107,"Tulare","Woodville","thumb/0320/0322/8a30933_150px.jpg","1942-03","03",1942,"California"
"fsa1998003306/PP","Lee","People As Such","Sunday school, FSA (Farm Security Administration) farm workers community, Woodvi",6107,"Tulare","Woodville","thumb/0320/0322/8a30935_150px.jpg","1942-03","03",1942,"California"
"fsa1998003309/PP","Lee","Religion","Sunday school, FSA (Farm Security Administration) farm workers community, Woodvi",6107,"Tulare","Woodville","thumb/0320/0322/8a30938_150px.jpg","1942-03","03",1942,"California"
"fsa1998003344/PP","Lee","People As Such","Lunch in the nursery school at the FSA (Farm Security Administration) farmworker",6107,"Tulare","Woodville","thumb/0320/0322/8a30973_150px.jpg","1942-02","02",1942,"California"
"fsa1998003393/PP","Lee","Work","Workmen put paper caps over young melon plants in order to protect the plants fr",6025,"Imperial","","thumb/0320/0323/8a31021_150px.jpg","1942-02","02",1942,"California"
"fsa1998003399/PP","Lee","Work","Farmer repairs conveyor belt which is used on a hay baler. Imperial County, Cali",6025,"Imperial","","thumb/0320/0323/8a31027_150px.jpg","1942-02","02",1942,"California"
"fsa1998003400/PP","Lee","Social and Personal Activity","Imperial County, California. Agricultural workers during lunch hour",6025,"Imperial","","thumb/0320/0323/8a31028_150px.jpg","1942-02","02",1942,"California"
"fsa1998003427/PP","Lee","Work","Brawley, California (vicinity). Cattle corral. Many cattle are fed for marketing",6025,"Imperial","Brawley","thumb/0320/0323/8a31053_150px.jpg","1942-03","03",1942,"California"
"fsa1998003435/PP","Lee","Work","Driving cattle into corral before shipment to market. Brawley, California. These",6025,"Imperial","Brawley","thumb/0320/0323/8a31061_150px.jpg","1942-03","03",1942,"California"
"fsa1998003436/PP","Lee","Work","Loading cattle into trailer for shipment to market. Brawley, California",6025,"Imperial","Brawley","thumb/0320/0323/8a31062_150px.jpg","1942-03","03",1942,"California"
"fsa1998003437/PP","Lee","Social and Personal Activity","El Centro (vicinity), California. Souvenir stand of the Imperial County Fair",6025,"Imperial","El Centro","thumb/0320/0323/8a31063_150px.jpg","1942-03","03",1942,"California"
"fsa1998003440/PP","Lee","Work","Bunching carrots. Imperial County, California",6025,"Imperial","","thumb/0320/0323/8a31066_150px.jpg","1942-03","03",1942,"California"
"fsa1998003441/PP","Lee","Work","Driving cattle into corral before shipment to market. Brawley, California. These",6025,"Imperial","Brawley","thumb/0320/0323/8a31067_150px.jpg","1942-03","03",1942,"California"
"fsa1998003462/PP","Lee","People As Such","El Centro, California (vicinity). Cattlemen at the Imperial County Fair",6025,"Imperial","El Centro","thumb/0320/0323/8a31088_150px.jpg","1942-03","03",1942,"California"
"fsa1998003464/PP","Lee","People As Such","Cattleman at the Imperial County Fair, California",6025,"Imperial","","thumb/0320/0323/8a31090_150px.jpg","1942-03","03",1942,"California"
"fsa1998003467/PP","Lee","People As Such","El Centro (vicinity), California. Cattleman at the Imperial County Fair",6025,"Imperial","El Centro","thumb/0320/0324/8a31092_150px.jpg","1942-03","03",1942,"California"
"fsa1998003468/PP","Lee","People As Such","El Centro (vicinity), California. Cattleman at the Imperial County Fair",6025,"Imperial","El Centro","thumb/0320/0324/8a31093_150px.jpg","1942-03","03",1942,"California"
"fsa1998003469/PP","Lee","People As Such","Cattleman at the Imperial County Fair, California",6025,"Imperial","","thumb/0320/0324/8a31094_150px.jpg","1942-03","03",1942,"California"
"fsa1998003471/PP","Lee","People As Such","El Centro, California (vicinity). Youngsters at the Imperial County Fair",6025,"Imperial","El Centro","thumb/0320/0324/8a31096_150px.jpg","1942-03","03",1942,"California"
"fsa1998003476/PP","Lee","People As Such","El Centro (vicinity), California. Cowboy at the Imperial County Fair",6025,"Imperial","El Centro","thumb/0320/0324/8a31101_150px.jpg","1942-03","03",1942,"California"
"fsa1998003498/PP","Lee","People As Such","Girls at the Imperial County Fair, California",6025,"Imperial","","thumb/0320/0324/8a31123_150px.jpg","1942-03","03",1942,"California"
"fsa1998003500/PP","Lee","People As Such","Girls at the Imperial County Fair, California",6025,"Imperial","","thumb/0320/0324/8a31125_150px.jpg","1942-03","03",1942,"California"
"fsa1998003501/PP","Lee","Social and Personal Activity","Resting at the Imperial County Fair, California",6025,"Imperial","","thumb/0320/0324/8a31126_150px.jpg","1942-03","03",1942,"California"
"fsa1998003502/PP","Lee","People As Such","Skylarking at the Imperial County Fair, California",6025,"Imperial","","thumb/0320/0324/3c30351_150px.jpg","1942-03","03",1942,"California"
"fsa1998003504/PP","Lee","Social and Personal Activity","On the midway at the Imperial County Fair, California",6025,"Imperial","","thumb/0320/0324/8a31129_150px.jpg","1942-03","03",1942,"California"
"fsa1998003505/PP","Lee","Social and Personal Activity","El Centro (vicinity), California. On the midway at the Imperial County Fair",6025,"Imperial","El Centro","thumb/0320/0324/8a31130_150px.jpg","1942-03","03",1942,"California"
"fsa1998003506/PP","Lee","Social and Personal Activity","On the midway at the Imperial County Fair, California",6025,"Imperial","","thumb/0320/0324/8a31131_150px.jpg","1942-03","03",1942,"California"
"fsa1998003508/PP","Lee","Social and Personal Activity","El Centro (vicinity), California. On the midway at the Imperial County Fair",6025,"Imperial","El Centro","thumb/0320/0324/8a31133_150px.jpg","1942-03","03",1942,"California"
"fsa1998003510/PP","Lee","Social and Personal Activity","El Centro (vicinity), California. On the midway at the Imperial County Fair",6025,"Imperial","El Centro","thumb/0320/0324/8a31135_150px.jpg","1942-03","03",1942,"California"
"fsa1998003512/PP","Lee","People As Such","Young people at the Imperial County Fair, California",6025,"Imperial","","thumb/0320/0324/8a31137_150px.jpg","1942-03","03",1942,"California"
"fsa1998003513/PP","Lee","Social and Personal Activity","El Centro (vicinity), California. Young people at the Imperial County Fair",6025,"Imperial","El Centro","thumb/0320/0324/8a31138_150px.jpg","1942-03","03",1942,"California"
"fsa1998003514/PP","Lee","People As Such","El Centro (vicinity), California. At the Imperial County Fair",6025,"Imperial","El Centro","thumb/0320/0324/8a31139_150px.jpg","1942-03","03",1942,"California"
"fsa1998003515/PP","Lee","People As Such","El Centro (vicinity), California. Young people at the Imperial County Fair",6025,"Imperial","El Centro","thumb/0320/0324/8a31140_150px.jpg","1942-03","03",1942,"California"
